Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variável - Quantidade produzida (Toneladas);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ano x Produto das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Total;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Castelândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;467500;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;172;-;-;-;-;-;11040;-;-;-;-;-;-;-;19840;-;-;-;-;-;-;-;-
Catalão (GO);..;-;-;-;...;-;-;940;-;351;-;-;-;-;-;-;...;-;-;-;-;...;1400;...;-;-;7000;-;-;-;-;-;-;-;-;13750;-;-;2599;-;-;-;10000;-;-;-;-;-;-;600;-;-;-;-;-;60000;-;-;-;-;-;-;-;346500;40600;-;4389;21200;-;-;-;-
Caturaí (GO);..;-;-;-;...;-;-;-;-;-;-;-;240;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6060;-;-;-;-;-;-;-;8082;460;-;-;-;-;-;-;-
Cavalcante (GO);..;-;-;-;...;-;-;-;-;-;-;-;180;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2678;-;-;-;-;-;-;-;-;-;-;-;-;-;3857;-;-;-;-;-;-;-;-
Ceres (GO);..;-;-;-;...;-;-;-;-;-;-;-;545;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;600;-;-;-;3317;-;4109;-;-;-;-;-;-;-;1512;-;-;-;-;-;-;-;-
Cezarina (GO);..;-;-;-;...;-;504;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;140;-;-;-;-;-;14000;-;-;-;-;-;-;-;26250;4480;-;-;-;-;-;-;-
Chapadão do Céu (GO);..;-;-;-;...;-;47150;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;2295000;...;-;-;-;-;-;-;-;-;-;-;-;2520;-;-;3750;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;546260;-;-;-;-;-;-;-;328250;19320;-;-;-;-;-;-;-
Cidade Ocidental (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1129;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39143;-;-;-;-;-;-;-;22460;1646;840;-;-;-;-;-;-
Cocalzinho de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;511;-;-;30;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2940;-;-;-;-;-;29700;-;-;-;-;-;-;-;43625;4320;-;12630;-;-;-;-;48
Colinas do Sul (GO);..;-;-;-;...;-;-;-;-;-;-;-;69;-;-;750;...;-;-;-;-;...;600;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;342;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Córrego do Ouro (GO);..;-;-;-;...;-;-;-;-;-;-;-;693;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;302;-;-;-;-;-;500;-;-;-;-;-;-;-;384;-;-;-;-;-;-;-;-
Corumbá de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;700;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;598;-;-;-;-;-;-;-;-;-;-;-;-;-;1550;-;-;-;-;-;14500;-;-;-;-;-;-;-;35376;3000;-;12905;-;-;-;-;15
Corumbaíba (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;500;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;300;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;1710;-;-;-;-;-;-;-;48000;1150;-;-;-;-;-;-;-
Cristalina (GO);..;220;-;-;...;-;35312;36250;-;-;-;-;-;-;137250;-;...;-;6000;6000;-;...;-;...;-;-;139500;-;-;-;-;-;-;-;-;48937;-;-;1260;-;-;-;-;-;-;-;-;-;-;-;1275;-;-;-;-;626802;-;-;-;-;-;-;-;1323300;227500;-;336000;15067;-;-;-;257
Cristianópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;281;-;-;-;-;-;9750;-;-;-;-;-;-;-;23560;1953;-;-;-;-;-;-;-
Crixás (GO);..;-;-;-;...;-;-;-;-;-;-;-;165;-;-;-;...;-;-;-;-;...;1125;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;536;-;-;-;-;-;1680;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cromínia (GO);..;-;-;-;...;-;-;-;-;44;-;-;221;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;216;-;-;-;-;-;-;396;-;-;-;-;-;-;308;-;-;-;-;-;6328;-;-;-;-;-;-;-;20880;148;-;-;-;-;-;-;-
Cumari (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;200;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;896;-;-;-;-;-;-;-;11970;1200;-;-;-;-;-;-;-
Damianópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Damolândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1185;-;-;-;-;-;-;-;637;-;-;-;-;-;-;-;-
Davinópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;1500;-;-;-;-;-;-;-;11880;600;-;-;-;-;-;-;-
Diorama (GO);..;-;-;-;...;-;-;-;-;-;-;-;200;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306;-;-;-;-;-;12000;-;-;-;-;-;-;-;18000;-;-;-;-;-;-;-;-
Doverlândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;3750;-;-;1700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;264000;-;-;-;-;-;-;-;256000;14100;-;-;-;-;-;-;-
Edealina (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;6750;...;-;-;-;-;-;-;-;-;-;-;-;114;-;-;-;1015;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10630;-;799;-;-;-;-;-;61200;8125;-;36945;-;-;-;-;-
Edéia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;510;...;-;-;-;-;...;2400000;...;-;-;-;-;-;-;-;-;-;-;-;895;-;-;690;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33600;-;-;-;-;-;-;-;100300;20400;-;9360;-;-;-;-;-
Estrela do Norte (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138;-;-;-;-;-;1008;-;-;-;-;-;-;-;4514;-;-;-;-;-;-;-;-
Faina (GO);..;-;-;-;...;-;-;-;-;-;-;-;53;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;158;-;-;-;573;-;-;-;-;-;-;-;160;-;-;-;-;-;-;-;-
Fazenda Nova (GO);..;-;-;-;...;-;-;-;-;-;-;-;209;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;510;-;-;-;-;-;-;-;136;-;-;-;-;-;15000;-;-;-;-;-;-;-;-
Firminópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;381;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1105;-;-;-;-;-;72000;-;-;-;-;-;-;-;82800;-;-;-;-;-;-;-;-
Flores de Goiás (GO);..;-;-;-;...;-;-;-;-;62681;-;-;1100;-;-;-;...;-;-;-;-;...;-;...;-;-;240;-;-;-;-;-;-;-;-;6615;-;-;-;-;-;-;-;-;-;-;-;-;-;7507;-;700;-;1452;-;31167;-;-;-;-;-;-;-;16146;2073;-;-;-;-;-;-;-
Formosa (GO);..;-;-;-;...;-;-;23;-;2215;-;-;880;-;-;-;...;-;-;-;-;...;16250;...;-;-;-;-;-;-;342;-;-;-;-;11130;-;-;-;107;-;-;-;55;-;-;-;-;-;8336;36;270;-;-;-;67107;-;-;-;-;-;-;-;103493;4632;650;8976;5000;-;-;-;84
Formoso (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;144;-;-;-;-;-;2192;-;-;-;-;-;-;-;520;-;-;-;-;-;-;-;-
Gameleira de Goiás (GO);..;46;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;32;32;-;...;780;...;-;-;-;-;-;-;-;-;-;-;-;1400;-;-;750;-;-;-;2940;-;-;-;-;-;-;740;-;60;-;-;-;95900;-;74;-;-;-;-;-;118800;23400;278;22000;-;-;-;-;-
Divinópolis de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;108;288;-;-;-;-;-;-;-
Goianápolis (GO);..;45;-;-;...;-;-;-;-;-;-;-;1020;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5051;-;-;-;-;-;-;1133;-;-;-;-;-;4332;-;-;-;-;-;-;-;6750;-;1505;428;-;-;-;-;-
Goiandira (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;560;-;-;240;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;4600;-;-;-;-;-;-;-;13860;800;-;-;-;-;-;-;-
Goianésia (GO);..;-;-;-;...;-;-;-;-;-;-;-;572;-;-;1860;...;-;-;-;-;...;3948500;...;-;-;-;-;-;-;-;-;-;-;-;420;-;-;-;-;-;-;-;-;-;-;-;-;-;1057;-;-;-;-;-;10640;-;-;-;-;-;-;-;11520;-;-;-;-;-;-;-;-
Goiânia (GO);..;-;-;-;...;-;-;-;-;-;-;-;52;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;58;-;-;-;-;-;-;-;93;-;-;-;-;96;-;-;-;-;-;1360;15;-;-;-;-;7308;-;-;-;-;-;-;-;11490;468;120;1816;-;-;-;-;-
Goianira (GO);..;-;-;-;...;-;-;-;-;-;-;-;50;-;-;29;...;-;35;35;-;...;72000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;551;-;-;-;-;-;-;-;-;-;-;-;-;8160;-;-;-;-;-;-;-;7740;-;-;-;-;-;-;-;-
Goiás (GO);..;-;-;-;...;-;-;-;-;900;-;-;258;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2700;-;-;-;-;-;-;-;-;-;-;-;-;-;496;-;-;-;-;-;45600;-;-;-;-;-;-;-;32000;11400;-;-;-;-;-;-;-
Goiatuba (GO);..;-;-;-;...;-;4043;-;-;-;-;-;224;-;-;90;...;-;-;-;-;...;3776500;...;-;-;-;-;-;-;47;-;-;-;-;2813;-;-;108;-;-;-;1232;-;-;-;-;-;-;192;-;-;-;-;-;136150;-;-;-;-;-;-;-;315000;24000;-;-;-;-;-;-;-
Gouvelândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;2106823;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4590;-;-;-;-;-;-;-;33048;785;-;-;-;-;-;-;-
Guapó (GO);..;-;-;-;...;-;-;-;-;178;-;-;113;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;238;-;-;-;-;-;4725;-;-;-;-;-;-;-;17680;-;-;-;-;-;-;-;-
Guaraíta (GO);..;-;-;-;...;-;-;-;-;12;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;390;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Guarani de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;945;-;-;-;-;-;-;-;-
Guarinos (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Heitoraí (GO);..;-;-;-;...;-;-;-;-;-;-;-;760;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2625;-;-;-;-;-;-;-;5100;290;-;-;-;-;-;-;-
Hidrolândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;99;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;430;-;-;-;-;-;-;28000;480;-;-;-;-;-;270;-;-;-;-;-;13020;-;-;-;-;-;-;-;49600;4550;1520;46500;-;-;-;-;-
Hidrolina (GO);..;-;4000;-;...;-;-;-;-;-;-;-;46;-;-;572;...;-;-;-;-;...;105000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;360;-;-;-;2880;-;1200;-;108;-;-;-;-;-;12210;-;-;-;-;-;-;-;-
Iaciara (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;324;-;-;-;-;-;-;-;-;-;-;-;-;-;300;-;-;-;-;-;1400;-;-;-;-;-;-;-;10618;-;-;-;-;-;-;-;-
Inaciolândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;1501000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;170;-;-;-;2910;-;-;-;-;-;-;240;-;-;-;-;-;20328;-;-;-;-;-;-;-;51060;3900;-;-;-;-;-;-;-
Indiara (GO);..;-;90;-;...;-;-;-;-;-;-;-;65;-;-;-;...;-;-;-;-;...;322040;...;-;-;-;-;-;-;-;-;-;-;-;3160;-;-;680;-;-;-;1365;-;-;-;-;-;-;168;-;-;-;-;-;64800;-;-;-;-;-;-;-;117300;7260;-;-;980;-;-;-;-
Inhumas (GO);..;-;-;-;...;-;-;-;-;-;-;-;680;-;-;46;...;-;202;202;-;...;410800;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7152;45;-;-;-;-;-;6400;-;-;-;-;-;6840;-;-;-;-;-;-;-;9000;1708;672;-;-;-;-;-;-
Ipameri (GO);..;140;-;-;...;-;-;2000;-;1350;-;-;-;-;-;-;...;-;1120;1120;-;...;918000;...;-;-;8900;-;-;-;-;-;-;-;-;8806;-;-;3825;-;-;-;-;-;-;-;-;-;-;500;-;-;-;-;-;129000;-;-;-;-;-;-;-;343200;72600;-;21000;-;-;-;-;-
Ipiranga de Goiás (GO);..;-;-;-;...;-;-;-;-;112;-;-;-;-;-;-;...;-;-;-;-;...;342587;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;572;-;-;-;2298;-;1892;-;-;-;-;-;-;-;1599;-;-;-;-;-;-;-;-
Iporá (GO);..;-;-;-;...;-;-;-;-;-;-;-;307;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1190;-;-;-;-;-;21060;-;-;-;-;-;-;-;39000;-;-;-;-;-;-;-;-
Israelândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306;-;-;-;-;-;-;-;-;-;-;-;-;-;6000;-;-;-;-;-;-;-;-
Itaberaí (GO);..;-;-;-;...;-;-;-;-;3500;-;-;2475;-;-;-;...;-;-;-;-;...;158000;...;-;-;-;-;-;-;-;-;-;-;-;7185;-;-;-;-;-;-;38700;1000;-;-;-;-;-;16350;-;-;-;2250;-;124200;-;-;-;-;-;-;-;118800;8400;3200;33845;-;-;-;-;680
Itaguari (GO);..;-;-;-;...;-;-;-;-;-;-;-;4125;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3200;-;-;-;1750;-;6360;-;-;-;-;-;-;-;5320;-;-;-;-;-;-;-;-
Itaguaru (GO);..;-;-;-;...;-;-;-;-;66;-;-;4800;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3600;-;-;-;-;-;-;1050;-;-;-;1500;-;2810;-;-;-;-;-;-;-;2520;-;-;-;-;-;-;-;-
Itajá (GO);..;-;-;-;...;-;-;-;1954;-;-;-;-;-;-;24;...;-;-;-;-;...;50000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;65;-;-;-;-;-;-;-;11081;-;-;-;-;-;-;-;-
Itapaci (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;487024;...;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;480;-;-;-;5832;-;2192;-;-;-;-;-;-;-;7240;400;-;-;-;-;-;-;-
Itapirapuã (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1200;-;-;-;-;-;-;-;-;-;-;-;-;-;289;-;-;-;-;-;1124;-;-;-;-;-;-;-;14400;-;-;-;-;-;-;-;-
Itapuranga (GO);..;-;-;-;...;-;-;-;-;52;-;-;1036;-;-;-;...;-;-;-;-;...;485746;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287;-;416;-;2239;-;14658;-;1767;-;6694;-;-;-;-;-;592;150;-;-;-;-;-;-;-
Itarumã (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;765170;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;240;-;-;-;-;-;2640;-;-;-;-;-;-;-;25950;-;-;-;-;-;-;-;-
Itauçu (GO);..;-;-;-;...;-;-;-;-;-;-;-;2250;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;800;-;-;-;-;-;-;-;-;-;-;-;-;7103;-;-;-;-;-;-;-;7380;318;-;-;-;-;-;-;180
Itumbiara (GO);..;-;-;-;...;-;351;-;-;-;-;-;2840;-;-;-;...;-;-;-;-;...;3608000;...;-;-;-;-;-;-;179;-;-;-;-;150;-;-;1333;-;-;-;160;-;-;-;-;-;-;850;-;-;-;-;-;80270;-;-;-;-;-;-;-;198000;9000;-;-;-;-;-;-;-
Ivolândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;595;-;-;-;-;-;-;-;-;-;-;-;-;-;12000;-;-;-;-;-;-;-;-
Jandaia (GO);..;-;160;-;...;-;-;-;-;-;-;-;-;-;-;30;...;-;-;-;-;...;882000;...;-;-;-;-;-;-;-;-;-;-;-;2300;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;10000;-;-;-;-;-;-;-;41600;7750;-;-;-;-;-;-;-
Jaraguá (GO);..;-;31500;-;...;-;-;-;-;-;-;-;1900;-;-;-;...;-;-;-;-;...;10800;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;444;-;-;-;-;-;-;3920;-;-;-;12000;-;410;-;-;-;-;-;-;-;14400;-;280;670;-;-;-;-;25
Jataí (GO);..;-;-;-;...;-;1587;-;-;-;-;-;225;-;-;-;...;-;-;-;-;...;2640000;...;-;-;-;-;-;-;-;-;-;-;-;6454;-;-;4356;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1896700;-;104;-;-;-;-;-;1170000;45750;-;-;600;-;-;-;-
Jaupaci (GO);..;-;-;-;...;-;-;-;-;-;-;-;100;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;680;-;-;-;-;-;-;-;-;-;-;-;-;-;15000;-;-;-;-;-;-;-;-
Jesúpolis (GO);..;-;560;-;...;-;-;-;-;54;-;-;226;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;240;-;-;-;-;-;600;-;-;-;-;-;-;-;1152;140;-;2010;-;-;-;-;-
Joviânia (GO);..;-;-;-;...;-;-;-;-;-;-;-;60;-;-;-;...;-;-;-;-;...;157593;...;-;-;-;-;-;-;-;-;-;-;-;997;-;-;-;-;-;-;-;-;-;-;-;-;-;160;-;-;-;-;-;43500;-;-;-;-;-;-;-;79350;4500;-;4640;-;-;-;-;-
Jussara (GO);..;-;-;-;...;-;1636;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;19710;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36000;-;9600;-;-;-;-;-;-;-;64000;-;-;-;-;-;-;-;-
Lagoa Santa (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;120;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Leopoldo de Bulhões (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;1190;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3360;-;-;-;-;-;-;740;-;-;-;-;-;39840;-;-;-;-;-;-;-;46800;1050;185;2240;-;-;-;-;-
Luziânia (GO);..;-;-;-;...;-;13928;2610;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;2030;-;-;-;-;-;-;-;-;19214;-;-;5270;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;246381;-;-;-;-;-;-;-;249935;20994;-;57000;28635;-;-;-;-
Mairipotaba (GO);..;-;-;-;...;-;-;-;-;75;-;-;121;-;-;15;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;176;-;-;-;436;-;-;-;-;-;-;480;-;-;-;-;-;1555;-;-;-;-;-;-;-;28635;5676;-;-;-;-;-;-;-
Mambaí (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130;-;200;-;200;-;-;-;-;-;-;-;-;-;192;-;-;-;-;-;-;-;-
Mara Rosa (GO);..;-;-;-;...;-;-;-;-;-;-;-;115;-;-;-;...;-;-;-;-;...;600;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;304;-;-;-;1200;-;3550;-;-;-;-;-;-;-;22770;-;-;-;-;-;-;-;-
Marzagão (GO);..;-;-;-;...;-;-;-;-;25;-;-;-;-;-;-;...;-;-;-;-;...;1065;...;-;-;-;-;-;-;-;-;-;-;-;130;-;-;536;-;-;-;-;-;-;-;-;-;-;164;-;-;-;-;-;3083;-;-;-;-;-;-;-;11550;275;-;-;-;-;-;-;-
