Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variável - Quantidade produzida (Toneladas);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Ano x Produto das lavouras temporárias e permanentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;Total;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Americano do Brasil (GO);..;-;-;-;...;-;-;-;-;-;-;-;160;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2975;-;-;-;-;-;3500;-;-;-;-;-;-;-;2340;-;-;-;-;-;-;-;-
Amorinópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306;-;-;-;-;-;14508;-;-;-;-;-;-;-;22500;-;-;-;-;-;-;-;-
Anápolis (GO);..;90;-;-;...;-;-;-;-;-;-;-;29970;-;-;1216;...;-;68;68;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132;-;-;-;5125;150;-;-;-;-;-;3421;-;-;-;-;-;11115;-;-;-;-;-;-;-;37950;2655;5451;4315;-;-;-;-;-
Anhanguera (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1614;-;-;-;-;-;-;-;-
Anicuns (GO);..;-;-;-;...;-;-;-;-;-;-;-;800;-;-;-;...;-;-;-;-;...;616200;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3200;-;-;-;-;-;17700;-;-;-;-;-;-;-;19800;1250;-;-;-;-;-;-;-
Aparecida de Goiânia (GO);..;-;-;-;...;-;-;-;-;-;-;-;100;-;-;-;...;-;-;-;-;...;150;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;322;-;-;-;-;-;-;-;1001;-;-;-;-;-;-;-;-
Aparecida do Rio Doce (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3100;-;-;-;-;-;-;-;8125;-;-;-;-;-;-;-;-
Aporé (GO);..;-;-;-;...;-;-;-;4000;-;-;-;-;-;-;-;...;-;-;-;-;...;2975000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5163;-;-;-;-;-;-;-;-;-;-;-;-;18600;-;-;-;-;-;-;-;112000;1350;-;-;-;-;-;-;-
Araçu (GO);..;-;-;-;...;-;-;-;-;-;-;-;680;-;-;-;...;-;-;-;-;...;8360;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;320;-;-;-;490;-;1200;-;-;-;-;-;-;-;3236;957;-;-;-;-;-;-;-
Aragarças (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;73920;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;374;-;-;-;-;-;-;-;-;-;-;-;-;-;1650;-;-;-;-;-;-;-;-
Aragoiânia (GO);..;-;-;-;...;-;-;-;-;-;-;-;59;-;-;-;...;-;-;-;-;...;450;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;210;-;-;-;-;-;1350;-;-;-;-;-;-;-;8400;490;-;-;-;-;-;-;36
Araguapaz (GO);..;-;-;-;...;-;-;-;-;-;-;-;45;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;800;-;-;-;490;-;-;-;225;-;-;-;-;-;14720;-;-;-;-;-;-;-;-
Arenópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;425;-;-;-;-;-;-;-;-;-;-;-;-;-;57000;-;-;-;-;-;-;-;-
Aruanã (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;18600;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;225;-;-;-;-;-;-;-;-;-;-;-;-;-;48000;-;-;-;-;-;-;-;-
Aurilândia (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;1166;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;170;-;-;-;-;-;3000;-;-;-;-;-;-;-;-
Avelinópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;240;-;-;-;...;-;-;-;-;...;148200;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2450;-;-;-;-;-;-;-;5510;300;-;-;-;-;-;-;-
Baliza (GO);..;-;-;-;...;-;-;-;-;-;-;-;271;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;595;-;-;-;-;-;12600;-;-;-;-;-;-;-;36000;-;-;-;-;-;-;-;-
Barro Alto (GO);..;-;-;-;...;-;-;-;-;75;-;-;210;-;-;5460;...;-;-;-;-;...;666000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;230;-;-;-;-;-;4480;-;-;-;-;-;-;-;21600;-;-;-;-;-;-;-;-
Bela Vista de Goiás (GO);..;-;-;-;...;-;-;-;-;90;-;-;-;-;-;50;...;-;-;-;-;...;540;...;-;-;-;-;-;-;99;-;-;-;-;-;-;-;1443;-;-;-;1000;-;-;-;-;-;-;18338;-;153;-;-;-;64700;-;69;-;-;-;-;-;104160;21080;675;29300;-;-;-;-;-
Bom Jardim de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;433;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;850;-;-;-;-;-;-;-;-;-;-;-;-;-;63000;-;-;-;-;-;-;-;-
Bom Jesus de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;144;...;-;-;-;-;...;2485200;...;-;-;-;-;-;-;35;-;-;-;-;1534;-;-;238;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;113600;-;-;-;-;-;-;-;224000;10500;-;-;-;-;-;-;-
Bonfinópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;312;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3915;-;-;-;-;-;-;222;-;-;-;-;-;1125;-;-;-;-;-;-;-;2100;-;100;3000;-;-;-;-;-
Bonópolis (GO);..;-;-;-;...;-;-;-;-;3440;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1234;-;-;-;-;-;-;-;-;-;-;-;-;-;700;-;-;-;-;-;2415;-;-;-;-;-;-;-;72192;405;-;-;-;-;-;-;-
Brazabrantes (GO);..;-;-;-;...;-;-;-;-;-;-;-;192;-;-;-;...;-;-;-;-;...;40810;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1818;-;-;-;-;-;-;-;-;-;-;-;-;833;-;-;-;-;-;-;-;882;-;126;-;-;-;-;-;-
Britânia (GO);..;-;-;-;...;-;4321;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2700;-;-;-;-;-;-;-;-;-;-;-;-;-;386;-;-;-;8100;-;-;-;-;-;-;-;-;-;22620;-;-;-;-;-;-;-;-
Buriti Alegre (GO);..;-;-;-;...;-;-;-;-;-;-;-;4750;-;-;-;...;-;-;-;-;...;251913;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1656;-;-;-;420;-;-;-;-;-;-;160;-;-;-;-;-;22308;-;-;-;-;-;-;-;65550;6000;-;-;-;-;-;-;-
Buriti de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;654;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;212;-;-;-;-;-;750;-;-;-;-;-;-;-;1120;-;-;-;-;-;-;-;-
Buritinópolis (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;148;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cabeceiras (GO);..;-;-;-;...;-;1316;1306;-;-;-;-;-;-;-;-;...;-;2878;2878;-;...;-;...;-;-;4802;-;-;-;-;-;-;-;-;10204;-;-;-;-;-;-;-;33;-;-;-;-;-;518;-;46;-;-;-;127771;-;-;-;-;-;-;-;114691;5501;-;-;6181;-;-;-;-
Cachoeira Alta (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;905;...;-;-;-;-;...;670692;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5440;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1627;454;-;-;-;-;-;-;-
Cachoeira de Goiás (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;170;-;-;-;-;-;-;-;-;-;-;-;-;-;5400;-;-;-;-;-;-;-;-
Cachoeira Dourada (GO);..;-;-;-;...;-;-;-;-;-;-;-;48;-;-;525;...;-;-;-;-;...;1189000;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;700;-;-;-;-;-;-;51;-;-;-;-;-;20960;-;-;-;-;-;-;-;47250;4800;-;-;-;-;-;-;-
Caçu (GO);..;-;-;-;...;-;-;-;-;-;-;-;-;-;-;125;...;-;-;-;-;...;1719259;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3570;-;-;-;-;-;-;-;10500;852;-;-;-;-;-;-;-
Caiapônia (GO);..;-;138;-;...;-;4438;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;4050;-;-;3100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;945;-;446950;-;-;-;-;-;-;-;462000;28200;-;-;-;-;-;-;-
